,Name,Gender,Age,Destination_Category,Temperature,Budget,Purpose,Num_of_People,Families,Duration,Travel Months,Transportation
0,Lindsey Byrd,Male,33,Island,Cold,High,Business,5,1,3,April,Train
1,Christine Callahan,Female,45,Yoga and Wellness Retreat,Hot,Low,Leisure,3,0,2,July,Ferry
2,Trevor Norman,Female,50,Adventure Sports,Hot,Low,Leisure,2,1,8,September,Bus
3,Cody Valdez,Male,59,Fishing Village,Warm,High,Leisure,3,1,12,October,Car
4,Kristopher Bowen,Female,41,Yoga and Wellness Retreat,Hot,High,Business,2,0,4,January,Ferry
5,Adam Gutierrez,Female,55,Photography Expedition,Warm,Low,Business,3,0,7,November,Ferry
6,Maurice Bradshaw,Female,50,Food and Culinary Tour,Hot,High,Leisure,3,1,7,December,Train
7,Samuel Sanchez,Female,45,Countryside,Hot,Medium,Leisure,2,0,12,May,Car
8,Gerald Roach,Male,61,Science and Astronomy Tour,Hot,Medium,Business,1,1,5,December,Bus
9,Anthony Odom,Male,29,Theme Park,Hot,Medium,Leisure,5,1,8,October,Airplane
10,Meagan Miller,Female,31,City,Warm,Low,Leisure,4,1,2,July,Airplane
11,Kathleen Smith,Female,64,National Park,Warm,High,Business,2,0,11,April,Ferry
12,Billy Tucker,Female,62,Cruise,Cold,High,Leisure,5,0,2,February,Airplane
13,Ralph Blake,Female,59,Cultural Experience,Hot,High,Leisure,2,1,1,March,Ferry
14,Tyler Fischer,Male,53,Lake,Warm,Low,Leisure,4,0,2,July,Train
15,Molly Jenkins,Female,32,Mountain,Hot,Medium,Business,1,0,9,May,Ferry
16,Steven Howard,Female,22,Ski Resort,Warm,High,Business,2,0,4,December,Ferry
17,Steven Salas,Female,30,Winery,Warm,High,Leisure,4,0,13,August,Train
18,Lonnie Harris,Female,42,Ski Resort,Warm,Medium,Leisure,4,0,7,July,Bus
19,Danielle Jones,Male,57,City,Cold,High,Leisure,1,1,3,January,Bus
20,Anthony Mullen,Female,19,Ski Resort,Warm,High,Business,2,1,14,December,Car
21,Sarah Wilson,Male,18,Historical Sites,Hot,Low,Business,4,0,4,May,Airplane
22,Travis Solis,Male,18,Mountain,Hot,High,Business,4,0,7,August,Bus
23,Cathy Carr,Male,49,Cruise,Cold,Medium,Leisure,3,0,10,October,Car
24,Jeffrey Miller,Female,39,Yoga and Wellness Retreat,Cold,Medium,Business,3,1,3,March,Car
25,Mary Baker,Female,46,Science and Astronomy Tour,Warm,High,Leisure,3,0,10,September,Airplane
26,William Ward DDS,Female,28,Spa Retreat,Warm,Medium,Business,3,1,14,September,Airplane
27,Megan Baker,Male,25,Countryside,Warm,High,Leisure,3,0,2,June,Bus
28,Miguel Vazquez,Male,23,Art and Architecture Tour,Hot,Medium,Leisure,1,0,6,October,Bus
29,Dominic Rojas,Male,56,Science and Astronomy Tour,Hot,Low,Business,1,1,10,April,Ferry
30,Linda Cooper,Male,25,Ski Resort,Cold,Medium,Business,1,0,7,November,Airplane
31,Jennifer Riley,Female,32,Cultural Experience,Cold,High,Business,1,0,12,July,Bus
32,Stephen Wilson,Female,31,Island,Warm,Medium,Business,4,1,4,October,Ferry
33,Randy Rowland,Female,22,Beach,Warm,Medium,Business,5,1,6,December,Airplane
34,Matthew Walker,Male,39,Beach,Warm,High,Business,1,0,7,November,Airplane
35,Ryan Romero,Female,45,Wildlife Safari,Warm,High,Leisure,5,1,14,November,Airplane
36,Victoria Johnson,Male,58,Science and Astronomy Tour,Cold,High,Leisure,5,0,5,August,Airplane
37,Cindy Miller,Female,30,Adventure Sports,Cold,Medium,Business,1,0,2,December,Train
38,Elizabeth Anderson,Male,64,Yoga and Wellness Retreat,Hot,High,Leisure,3,0,2,March,Train
39,Melissa Kim,Female,29,Island,Cold,Low,Leisure,3,0,6,October,Ferry
40,Matthew Ramirez,Male,45,Music and Festival Tour,Cold,Medium,Leisure,2,0,5,October,Train
41,Michael Palmer,Male,35,Arctic Expedition,Cold,Medium,Leisure,2,1,9,December,Ferry
42,Steven Walker,Male,28,Beach,Warm,Medium,Leisure,2,1,4,November,Train
43,Ralph Blake,Female,28,Spa Retreat,Hot,Medium,Leisure,1,1,6,February,Ferry
44,Richard Fowler,Male,19,Adventure Sports,Hot,High,Leisure,2,0,10,February,Airplane
45,Randall Flores,Female,44,Cultural Experience,Hot,Medium,Business,5,0,13,April,Car
46,Gavin Henry,Female,35,Lake,Warm,High,Business,3,1,7,April,Ferry
47,Diana Phillips,Male,18,Arctic Expedition,Warm,Low,Leisure,5,1,10,November,Bus
48,Blake Young,Male,20,Jungle,Warm,Medium,Leisure,3,1,7,March,Car
49,Michael Wilson,Male,57,Mountain,Cold,Low,Leisure,2,1,7,May,Train
50,Kimberly Bradford,Female,62,Art and Architecture Tour,Cold,High,Business,5,0,13,March,Airplane
51,Deborah Heath,Female,44,City,Cold,Medium,Leisure,1,1,6,October,Car
52,Hayden Singleton,Female,39,Forest,Cold,High,Business,2,1,13,December,Car
53,Bryan Pearson,Female,43,Arctic Expedition,Warm,Low,Business,4,0,9,December,Airplane
54,Charles Case,Male,40,Mountain,Cold,Medium,Business,3,1,3,June,Bus
55,Cynthia Oconnor,Male,28,Science and Astronomy Tour,Hot,Low,Leisure,3,1,4,April,Ferry
56,Cynthia Cohen,Male,18,Music and Festival Tour,Cold,High,Leisure,2,0,4,July,Train
