,Name,Gender,Age,Destination_Category,Temperature,Budget,Purpose,Num_of_People,Families,Duration,Travel Months,Transportation,Hobby,Language
0,David Sanchez,Male,19,City,Warm,High,Leisure,2,1,4,June,Airplane,Culinary,EN
1,Matthew Herrera,Female,18,Mountain,Hot,High,Leisure,3,0,1,August,Train,Outdoor Exploration,EN
2,Julie Mitchell,Female,62,Mountain,Cold,Low,Business,4,0,3,June,Train,Intellectual Pursuits,EN
3,Kaitlyn Ramirez,Male,46,Ski Resort,Warm,Low,Business,2,0,8,June,Bus,Creative Arts,ZH
4,Lisa Wells,Female,35,Village,Cold,High,Business,5,0,3,June,Train,Outdoor Exploration,ZH
5,Diana Thomas,Male,34,Photography Expedition,Hot,High,Business,1,1,14,June,Bus,Physical Sports,FR
6,Daniel Powell,Female,46,Village,Warm,Medium,Business,1,0,7,August,Airplane,Culinary,ZH
7,James Turner,Male,58,Island,Hot,Medium,Leisure,5,0,3,June,Bus,Physical Sports,ZH
8,Stephen Lewis,Male,26,Countryside,Hot,Low,Business,3,0,9,June,Train,Physical Sports,ZH
9,Kelsey Andrews,Male,37,Spa Retreat,Warm,Low,Business,1,1,5,June,Train,Culinary,ZH
10,Tanner Phillips,Female,56,Spa Retreat,Warm,Low,Business,2,1,1,August,Car,Intellectual Pursuits,ZH
11,Kristina Freeman,Male,45,Spa Retreat,Hot,High,Leisure,5,0,4,August,Ferry,Creative Arts,EN
12,Dennis Banks,Female,46,Photography Expedition,Hot,Low,Business,5,0,3,July,Car,Outdoor Exploration,FR
13,Jo Johnson,Female,30,Ski Resort,Warm,Medium,Business,2,1,5,August,Train,Physical Sports,FR
14,Mr. Brian Dougherty,Female,20,Village,Hot,Medium,Leisure,4,1,14,July,Ferry,Intellectual Pursuits,FR
15,Ryan Black,Male,44,Countryside,Hot,High,Business,5,1,8,August,Car,Intellectual Pursuits,FR
16,Todd Martin,Female,57,Island,Warm,High,Leisure,2,0,5,June,Car,Outdoor Exploration,FR
17,Richard Dillon,Male,39,Ski Resort,Hot,High,Business,4,1,7,August,Car,Outdoor Exploration,ZH
18,Michael Marshall,Female,29,Mountain,Hot,Low,Leisure,1,1,5,August,Ferry,Culinary,EN
19,Ashley Taylor,Female,60,Winery,Hot,Low,Leisure,5,1,6,July,Ferry,Culinary,ZH
20,Debra Cain,Female,20,Countryside,Warm,Medium,Leisure,1,1,10,July,Car,Physical Sports,FR
21,Steven Lewis,Female,55,Ski Resort,Hot,High,Leisure,3,0,8,August,Ferry,Culinary,ZH
22,Seth Sims,Female,43,Winery,Warm,Medium,Leisure,1,1,11,June,Airplane,Creative Arts,ZH
23,Michelle Rodriguez,Male,41,Countryside,Warm,High,Business,3,0,9,August,Ferry,Culinary,EN
24,Marc Lucas,Female,19,Photography Expedition,Hot,High,Leisure,2,0,1,July,Car,Outdoor Exploration,ZH
25,Gary Wilson,Female,40,Winery,Cold,Medium,Business,5,0,4,June,Bus,Creative Arts,EN
26,Donald Mosley,Female,61,Photography Expedition,Hot,High,Business,4,1,8,August,Car,Outdoor Exploration,ZH
27,Robert Nichols,Male,58,Mountain,Hot,Low,Leisure,3,1,11,June,Airplane,Intellectual Pursuits,EN
28,Scott Thompson,Male,49,Photography Expedition,Warm,High,Leisure,1,0,2,August,Train,Creative Arts,ZH
29,Debbie Bates,Male,51,Island,Hot,High,Leisure,4,1,4,June,Car,Culinary,EN
30,Joann Arnold,Male,49,Countryside,Cold,High,Business,5,1,1,July,Train,Physical Sports,EN
31,Sharon Weber,Female,26,Winery,Warm,Low,Leisure,5,1,9,July,Ferry,Creative Arts,FR
32,Jimmy Chambers,Male,20,City,Warm,Medium,Business,5,1,11,July,Airplane,Creative Arts,FR
33,Mark Atkins,Male,59,Ski Resort,Hot,Low,Leisure,3,1,13,August,Ferry,Culinary,ZH
34,Audrey King,Female,60,Village,Hot,Low,Business,4,1,7,June,Car,Outdoor Exploration,FR
